"","Expertise","Complexite","Tps_Tot","Tps_Xplr","Tps_Xplo","Tps_RI","SW2a","SW2b","Docs","TG_Tot","Etude"
"1","expert","TC",5.50782484955346,4.40317201549225,5.14432663590193,5.21675556147871,3.5,0,4.5,0.0242831168594645,"Etude 1"
"2","expert","TC",5.15331780807531,4.91352245957026,4.14755266408027,4.98223051602325,4,0,1,0.020835286641456,"Etude 1"
"3","expert","TC",5.20985534658547,4.8589400263454,4.69737757059762,5.08665875020999,3,0,2,0.0163821631008158,"Etude 1"
"4","expert","TC",5.57759174500251,4.27030609115291,4.99602325411848,5.0708594763691,2,0.5,1.5,0.0339782114718936,"Etude 1"
"5","expert","TC",4.6786822328364,3.83257277484618,3.9420576838414,4.1917862475822,1,0,1,0.128600823045267,"Etude 1"
"6","expert","TC",4.97883306651997,4.4814712938587,4.55525168552223,4.82095638338686,1,0,1,0.0302046364116892,"Etude 1"
"7","expert","TC",4.91720344645666,3.88004146215864,4.16121821969102,4.34402857175626,2.5,0,1,0.181147114100039,"Etude 1"
"8","expert","TC",5.64633901838736,4.84134069651239,5.19951109220492,5.35737828882692,3,0,3,0.00878317845661988,"Etude 1"
"9","expert","TC",5.44533716239636,4.82727232150037,4.81066928190957,5.12008013412945,4.5,0.5,1.5,0.0303375047402351,"Etude 1"
"10","expert","TC",4.6649708619648,3.96628256216746,4.00479411038871,4.28699507396885,1,0,1,0.103284445362528,"Etude 1"
"11","expert","TC",5.34108318764924,4.62091645856543,4.85443357809555,5.05421457704263,2.5,0.5,1.5,0.0353057477757379,"Etude 1"
"12","expert","TC",5.51964295278398,3.96967212642384,5.16860501260217,5.19524079565464,2,0,2.5,0.0255163879001289,"Etude 1"
"13","expert","TC",4.82184747265952,3.67632773388132,3.825101411598,4.05808422475092,1,0,1,0,"Etude 1"
"14","expert","TC",4.86713736933156,4.10088725485359,4.00318039077125,4.35580578441483,2.5,0,1.5,0.176300769112105,"Etude 1"
"15","expert","TC",5.56864283706697,4.63371078487923,5.23636340813839,5.3331549594383,2.5,0.5,2,0.0185739824940215,"Etude 1"
"16","expert","TC",4.91970030960814,3.79413935576777,3.91328390176042,4.15881464672423,1,0,2,0.138744363510232,"Etude 1"
"17","expert","TC",5.01329657488338,4.1062759113543,4.60975977244355,4.72825635924849,3.5,0,2.5,0.0747831289261143,"Etude 1"
"18","expert","TC",5.05319180644966,4.18474819762794,4.30553407868605,4.55035678735969,2.5,0,1,0.112642739471424,"Etude 1"
"19","expert","TC",5.5367635477745,4.7628435492866,5.28736945902265,5.40093325056815,4,0.5,3,0.0158901040404562,"Etude 1"
"20","expert","TC",5.50978231492096,4.93635789126619,5.21601010915162,5.39934484818037,5.5,1,4,0.0159483274191619,"Etude 1"
"21","novice","TC",5.48743110727984,4.83910707313787,5.07247967090172,5.27231396414822,7,1,3,0.00534178046884807,"Etude 1"
"22","novice","TC",5.82139724244493,5.15619618152412,5.59838337002122,5.73232257794976,10,2,6.5,0.00740862159816933,"Etude 1"
"23","novice","TC",5.26072472426756,4.01822184547627,4.63911279544208,4.73232137137678,1,0,1.5,0.0185216054527606,"Etude 1"
"24","novice","TC",5.0426660630457,3.60605874941031,3.95206559018505,4.1136760118971,1,0,1,0.153940886699507,"Etude 1"
"25","novice","TC",5.3327918116377,4.19048577532922,5.19738119248805,5.23815152598688,3,0.5,2,0.023115775360895,"Etude 1"
"26","novice","TC",5.50187297284721,4.57103882643827,5.27482956195108,5.35321105967105,4,0,2,0.00443393110114462,"Etude 1"
"27","novice","TC",5.6062921320777,5.06218134613655,5.28478704752353,5.48862332785151,10,2,5.5,0.0129848418202801,"Etude 1"
"28","novice","TC",5.74115948071278,4.09228191903622,5.489651975833,5.5067072501944,2,0,2,0.00622762918827524,"Etude 1"
"29","novice","TC",5.6064668181172,4.61317031273957,5.33867358657684,5.41354367182059,5,0.5,2.5,0.0115765081778383,"Etude 1"
"30","novice","TC",5.16650263822234,4.45154850589205,4.80840342472047,4.96667195247023,2.5,0,2,0.0107976202045069,"Etude 1"
