Domaine,Specialite,Expertise,Complexite,Tps_Tot,Tps_Xplr,Tps_Xplo,Tps_RI,SW2a,SW2b,Docs,TG_Tot,FOFG,FOFD,SAE,Eleve
BIOAP,ELEC,novice,TC,4.878768745,4.387941244,4.180498623,4.721645766,0.0,1.0,1.0,0.131987065,5.0,5.0,38,2405_J1sn
BIOAP,ELEC,novice,TC,5.125458493,4.071219018,4.589100278,4.795295933,0.0,0.0,1.0,0.0,1.0,3.0,33,2405_AJ1SN
BIOAP,ELEC,novice,TC,5.33444973,3.776701184,4.826172022,4.982723388,0.0,0.0,1.0,0.0,7.0,3.0,38,2405_L1SN
BIOAP,ELEC,novice,TC,5.089802705,4.060886623,4.809660702,5.023635129,0.0,0.0,1.0,0.015500271,4.0,4.0,29,2405_LV1SN
BIOAP,ELEC,novice,TC,5.155694259,3.731185708,4.609124648,4.788323954,0.0,0.0,1.0,0.024596616,4.0,6.0,36,2505_AGTCI
BIOAP,ELEC,novice,TC,5.221479442,3.377124042,4.251686878,4.617084255,0.0,0.0,1.0,0.112032265,3.0,2.0,33,2505_DGTCI_2
BIOAP,ELEC,novice,TC,4.844744256,4.262617182,4.452215914,4.754623506,1.0,0.0,1.0,0.035300762,2.0,7.0,36,3105_TB1TCI
BIOAP,ELEC,novice,TC,4.811822912,3.503245771,4.329784199,4.735638815,0.0,1.0,1.0,0.093593523,2.0,2.0,38,0106_VQ1ASSP
BIOAP,ELEC,novice,TC,4.85883184,3.575303333,4.064233296,4.706768973,0.0,0.0,1.0,0.172503019,2.0,1.0,38,0106_TCV1ASSP
BIOAP,ELEC,novice,TC,4.841515888,3.487703863,4.346978534,4.634588097,0.0,0.0,1.0,0.089960417,1.0,1.0,34,0106_LM1ASSP
BIOAP,ASSP,expert,TC,4.872447648,3.584896344,4.328705712,4.690204943,0.0,0.0,1.0,0.093826234,1.0,1.0,30,0106_CB1ASSP
BIOAP,ELEC,novice,TC,5.336885814,3.776919003,5.132025825,5.266431624,0.0,0.0,1.0,0.014757207,1.0,1.0,31,0106_CE1ASSP
BIOAP,ELEC,novice,TC,5.150962029,3.846213364,4.931274757,5.048810681,0.0,0.0,1.0,0.01171454,3.0,5.0,32,0806_JA1ASSP
BIOAP,ELEC,novice,TC,5.217996898,4.191395117,4.862250675,5.071458548,1.0,0.0,2.0,0.0,4.0,3.0,36,0806_AD1ASSP
BIOAP,ASSP,expert,TC,4.962558736,3.552546548,4.27223624,4.719198658,0.0,0.0,1.0,0.053427365,2.0,2.0,34,2405_ACTASSP
BIOAP,ASSP,expert,TC,5.333958856,3.838534271,5.061456249,5.143289662,0.0,0.0,1.0,0.01736096,3.0,1.0,33,2405_JBTASSP_2
BIOAP,ASSP,expert,TC,5.033488091,3.917085191,4.709753184,4.940496563,0.0,0.0,1.0,0.01950953,2.0,1.0,37,2505_mttassp
BIOAP,ASSP,expert,TC,4.815398415,3.738939031,4.387318625,4.689042339,0.0,0.0,1.0,0.040990326,1.0,2.0,35,2505_LCTASSP
BIOAP,ASSP,expert,TC,5.045893838,3.97602884,4.809606845,4.965516838,0.0,0.0,1.0,0.031004387,2.0,4.0,33,2505_NCTASSP
BIOAP,ASSP,expert,TC,5.273318481,4.223392092,5.115477374,5.221294236,0.0,0.0,1.0,0.007665185,4.0,2.0,27,3105_EMTASSP
BIOAP,ASSP,expert,TC,5.457345886,4.225851811,5.113849802,5.21164373,0.0,1.0,1.0,0.01538793,1.0,1.0,29,3105_LTTASSP
BIOAP,ELEC,novice,TC,5.133050052,4.598210331,4.629083246,4.932996024,1.0,1.0,2.0,0.04698365,3.0,5.0,35,0806_JR1ASSP
BIOAP,ASSP,expert,TC,5.391702389,4.09805504,5.293548168,5.338231319,0.0,1.0,1.0,0.010173768,1.0,2.0,34,0806_LP1ASSP
BIOAP,ELEC,novice,TC,4.841759788,3.267640982,3.398981067,4.09509958,0.0,0.0,1.0,0.798084597,7.0,2.0,38,1106_mm1assp
BIOAP,ASSP,expert,TC,5.646642865,4.025756315,5.167960913,5.248395088,0.0,0.0,1.0,0.013585295,4.0,1.0,34,2405_CBRTASSP
BIOAP,ASSP,expert,TC,5.134084627,3.51851394,4.777579053,4.879187663,0.0,0.0,1.0,0.03337728,1.0,1.0,33,2405_CBTASSP
BIOAP,ASSP,expert,TC,5.365916452,3.825101412,5.103139803,5.1963586,0.0,0.0,1.0,0.015772124,2.0,1.0,35,2505_NRTASSP
BIOAP,ELEC,novice,TC,5.071348012,4.042181595,4.882114525,5.021685352,0.0,0.0,1.0,0.026237078,4.0,6.0,37,3105_LP1TCI
BIOAP,ELEC,novice,TC,5.116521408,4.289611246,4.7178036,4.969816471,0.0,0.0,1.0,0.019151218,2.0,5.0,32,3105_MR1TCI
BIOAP,ELEC,novice,TC,4.681105499,3.24674471,3.863857962,4.227758196,0.0,0.0,1.0,0.136817622,2.0,1.0,38,2405_J1sn
BIOAP,ELEC,novice,TC,5.243425019,3.980003372,4.960218595,5.03825843,0.0,0.0,3.0,0.021918529,7.0,7.0,33,2405_AJ1SN
BIOAP,ELEC,novice,TC,5.448537824,4.445448514,4.751032626,5.002977714,0.0,0.0,1.0,0.035481124,6.0,3.0,38,2405_L1SN
BIOAP,ELEC,novice,TC,5.203030166,4.327644964,4.846596869,5.051877671,0.0,0.0,1.0,0.028472993,3.0,3.0,29,2405_LV1SN
BIOAP,ELEC,novice,TC,5.150897601,3.788380515,4.878579238,4.96640927,0.0,0.0,1.0,0.013225764,2.0,5.0,36,2505_AGTCI
BIOAP,ELEC,novice,TC,5.375590463,4.057323705,5.044441759,5.150418694,2.0,0.0,3.0,0.018054615,2.0,5.0,33,2505_DGTCI_2
BIOAP,ELEC,novice,TC,5.124676995,3.77524626,4.812050593,5.036321427,0.0,0.0,1.0,0.0,3.0,2.0,36,3105_TB1TCI
BIOAP,ELEC,novice,TC,4.592520947,3.861414919,4.030316306,4.431653197,0.0,0.0,1.0,0.0,2.0,2.0,38,0106_VQ1ASSP
BIOAP,ELEC,novice,TC,5.01841337,3.851869601,4.588372564,4.971048434,0.0,0.0,1.0,0.0,2.0,1.0,38,0106_TCV1ASSP
BIOAP,ELEC,novice,TC,4.609551725,3.290257269,4.043205039,4.280692164,0.0,0.0,1.0,0.0,1.0,1.0,34,0106_LM1ASSP
BIOAP,ASSP,expert,TC,5.064948166,4.184123354,4.502290528,4.799230238,0.0,0.0,1.0,0.031456433,2.0,2.0,30,0106_CB1ASSP
BIOAP,ELEC,novice,TC,4.71092087,3.3232521,3.933234129,4.44196207,0.0,0.0,1.0,0.0,2.0,1.0,31,0106_CE1ASSP
BIOAP,ELEC,novice,TC,5.030458037,4.024239306,4.816956799,4.935532456,0.0,0.0,1.0,0.0,3.0,3.0,32,0806_JA1ASSP
BIOAP,ELEC,novice,TC,4.980625944,4.424146306,4.597289216,4.902008334,0.0,0.0,1.0,0.050552284,5.0,5.0,36,0806_AD1ASSP
BIOAP,ASSP,expert,TC,4.884614134,3.57634135,4.231112629,4.469822016,1.0,0.0,2.0,0.0,1.0,1.0,34,2405_ACTASSP
BIOAP,ASSP,expert,TC,,,,,,,,,3.0,1.0,33,2405_JBTASSP_2
BIOAP,ASSP,expert,TC,4.62978664,3.390758529,4.024362504,4.365806101,0.0,0.0,1.0,0.0,2.0,2.0,37,2505_mttassp
BIOAP,ASSP,expert,TC,4.951458949,4.198821978,4.539226695,4.802253628,0.0,0.0,1.0,0.057783428,1.0,1.0,35,2505_LCTASSP
BIOAP,ASSP,expert,TC,4.940117867,3.991270389,4.702921425,4.85468247,0.0,0.0,1.0,0.039637711,3.0,2.0,33,2505_NCTASSP
BIOAP,ASSP,expert,TC,5.385354202,4.517380665,4.907658537,5.265037275,0.0,0.0,1.0,0.012369196,1.0,1.0,27,3105_EMTASSP
BIOAP,ASSP,expert,TC,5.207758203,3.508798965,4.872540847,5.105080787,0.0,0.0,1.0,0.013410938,3.0,3.0,29,3105_LTTASSP
BIOAP,ELEC,novice,TC,5.27235688,4.290390809,4.563267445,4.873390362,0.0,0.0,1.0,0.0,3.0,4.0,35,0806_JR1ASSP
